New Palestine|New Palestine High School|181071001761|New Palestine High School|39.718368|-85.890686
New Prairie|New Prairie High School|180756001298|New Prairie High School|41.684507|-86.561028
New Washington|New Washington High School|180394000672|New Washington Middle/High Schoo|38.565665|-85.541267
Noblesville|Noblesville High School|180765001309|Noblesville High School|40.056488|-85.997846
North Central (Indianapolis)|North Central High School|181272002021|North Central High School|39.911151|-86.129287
North Central (Farmersburg)|North Central High School|180816001402|North Central High School|39.225044|-87.390376
North Daviess|North Daviess High School|180771001319|North Daviess Jr-Sr High School|38.847419|-87.061919
North Decatur|North Decatur High School|180261000309|North Decatur Jr-Sr High School|39.383205|-85.477747
North Harrison|North Harrison Middle School|180069000145|North Harrison Middle School|38.323093|-86.146429
North Judson-San Pierre|North Judson-San Pierre Elem Sch|180780001328|North Judson-San Pierre Elem Sch|41.210398|-86.789851
North Knox|North Knox Primary School|180783001332|North Knox Primary School|38.776291|-87.307835
North Miami|North Miami Middle/High School|180789001351|North Miami Middle/High School|40.896355|-86.066019
North Montgomery|North Montgomery High School|180790001357|North Montgomery High School|40.124782|-86.906808
North Newton|North Newton Junior-Senior High School|180792001363|North Newton Jr-Sr High School|41.034604|-87.424143
North Posey|North Posey Junior High School|180795001366|North Posey Sr High School|38.141549|-87.801553
North Putnam|North Putnam Middle School|180798001369|North Putnam Sr High Sch|39.789445|-86.800738
Fort Wayne North Side|North Side High School|180363000550|North Side High School|41.097256|-85.1355
North Vermillion|North Vermillion High School|180807001384|North Vermillion High School|39.967816|-87.453174
North White|North White Middle-High School|180813001396|North White Jr/Sr High School|40.865826|-86.889758
Northeast Dubois|Northeast Dubois High School|180812001393|Northeast Dubois High School|38.450758|-86.79616
Northeastern|Northeastern High School|180819001406|Northeastern High School|39.934453|-84.9122
Northfield|Northfield Junior-Senior High School|181218001945|Northfield Jr-Sr High School|40.855622|-85.795204
Northridge|Northridge High School|180660001165|Northridge High School|41.670045|-85.735268
Fort Wayne Northrop|Northrop High School|180363000552|Northrop High School|41.145678|-85.139388
Northview|Northview High School|180084000154|Northview High School|39.515913|-87.166371
Northwestern|Northwestern Senior High School|180204000255|Northwestern Sr High Sch|40.525761|-86.204407
Northwood|Northwood High School|180363000553|Northwood Middle School|41.461627|-85.999487
Norwell|Norwell High School|180822001410|Norwell High School|40.828296|-85.201102
Oak Hill|Oak Hill High School|180834001429|Oak Hill High School|40.579872|-85.821567
